Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
paniculata,19,III,FZ267,MOUNM_FZ267,2984,-16.30833333,-67.81366667,73.67,25.33,3.59,1.4,0.64,0.21,3.97,1.88,3.07,2.6
paniculata,19,III,JT2968,NY_JT3968,2300,11.11361111,-74.03416667,49,17.5,3.09,1.35,0.67,0.23,3.94,1.89,2.93,2.93
paniculata,19,III,AN394,ANDES_1,2700,4.898055556,-74.12194444,40.67,16.33,3.67,1.23,0.9,0.4,3.93,2,2.03,1.8
paniculata,19,III,AC13359,F1993095,2250,7.533333333,-72.45,74.33,25.33,2.86,1,0.66,0.2,3.85,2.2,2.08,1.9
paniculata,19,III,JC28192,US2585802,2300,9.316666667,-70.33333333,74,26.67,3.29,1.32,0.56,0.23,3.84,2.38,2.8,2.7
paniculata,19,III,VZ2355,MO3791653,2100,-0.216666667,-78.8,82.67,22,3.44,1.48,0.66,0.22,3.77,2.12,1.98,1.76
paniculata,19,III,EP5779,F1234495,1800,2.1875,-76.70222222,90,25,3.5,1.9,0.66,0.27,3.72,2.35,2.32,2.37
paniculata,19,III,HV4434,MOUNM_HV4434,1860,0.816666667,-78.13333333,90.67,26.33,3.16,1.5,0.66,0.22,3.72,1.95,2.75,2.3
paniculata,19,III,JS18731,MO4265187,2200,-16.11666667,-68.06666667,79.67,26,2.98,1.05,0.6,0.14,3.66,1.72,2.8,2.1
paniculata,19,III,PA6612,US3295163,2600,-17.21666667,-65.8,92.33,22.67,1.64,1.18,0.53,0.15,3.63,1.74,2.6,1.83
paniculata,19,III,FZ204,MOUNM_FZ204,3186,-13.18172222,-71.59766667,77.33,24,1.87,0.85,0.51,0.21,3.52,1.57,3.2,2.7
paniculata,19,III,FZ200,MOUNM_FZ200,3492,-13.35391667,-71.61519444,77.33,24.67,2.5,0.9,0.64,0.28,3.49,1.74,1.8,1.8
paniculata,19,III,GC1765,MO5863492,2150,-12.86666667,-72.53333333,83.33,23,2.29,0.87,0.55,0.18,3.49,1.52,2.6,2.32
paniculata,19,III,KV5689,MOUN_LV5689,2831,-12.46666667,-72,77.67,23.33,1.76,0.85,0.6,0.22,3.49,1.52,2.2,2
paniculata,19,III,CR1019,MO4940972,2000,3.516666667,-76.15,85,23.33,1.53,1.28,0.67,0.24,3.47,2.14,2.2,1.9
paniculata,19,III,BH6180,MO3603814,1200,8.633055556,-82.125,52,20,2.91,1.18,0.47,0.27,3.44,1.72,2.28,2.09
paniculata,19,III,FZ203,MOUNM_FZ203,3186,-13.18172222,-71.59766667,78,25,2.33,0.89,0.47,0.18,3.43,1.64,1.82,1.82
paniculata,19,III,LU4163,NY_LU4163,2400,5.833333333,-75.53333333,74,21.33,2.37,1.38,0.63,0.16,3.43,1.78,1.97,1.79
paniculata,19,III,MC1182,MO3587456,2100,9.416666667,-70.33333333,57.33,18.33,2.74,1.19,0.61,0.24,3.43,1.92,2.1,1.7
paniculata,19,III,GD19829,MO2992547,2300,10.1,-64.1,73,22.67,3.09,1.31,0.4,0.22,3.41,1.96,2.3,2.13
